eventid,iyear,imonth,iday,country,country_txt,gname,nkill,nwound,short_country_label,country_code
200801310003,2008,1,31,4,Afghanistan,Taliban,2,4,AF,93
200802080001,2008,2,8,4,Afghanistan,Taliban,3,5,AF,93
200802100002,2008,2,10,4,Afghanistan,Taliban,0,3,AF,93
200802110003,2008,2,11,4,Afghanistan,Unknown,0,2,AF,93
200802170002,2008,2,17,4,Afghanistan,Taliban,101,100,AF,93
200802180003,2008,2,18,4,Afghanistan,Taliban,39,41,AF,93
200802190005,2008,2,19,4,Afghanistan,Taliban,2,4,AF,93
200802200003,2008,2,20,4,Afghanistan,Taliban,0,2,AF,93
200802230003,2008,2,23,4,Afghanistan,Taliban,1,0,AF,93
200802230009,2008,2,23,4,Afghanistan,Unknown,7,0,AF,93
200802240005,2008,2,24,4,Afghanistan,Taliban,3,2,AF,93
200802260008,2008,2,26,4,Afghanistan,Taliban,6,0,AF,93
200803010004,2008,3,1,4,Afghanistan,Taliban,0,0,AF,93
200803010005,2008,3,1,4,Afghanistan,Taliban,3,7,AF,93
200803010008,2008,3,1,4,Afghanistan,Taliban,0,0,AF,93
200803020002,2008,3,2,4,Afghanistan,Taliban,0,2,AF,93
200803030001,2008,3,3,4,Afghanistan,Haqqani Network,3,4,AF,93
200803030009,2008,3,3,4,Afghanistan,Unknown,0,0,AF,93
200803040003,2008,3,4,4,Afghanistan,Taliban,4,0,AF,93
200803040005,2008,3,4,4,Afghanistan,Unknown,2,4,AF,93
200803080004,2008,3,8,4,Afghanistan,Unknown,3,1,AF,93
200803080005,2008,3,8,4,Afghanistan,Taliban,1,0,AF,93
200803080015,2008,3,8,4,Afghanistan,Taliban,0,0,AF,93
200803110006,2008,3,11,4,Afghanistan,Taliban,0,0,AF,93
200803130008,2008,3,13,4,Afghanistan,Taliban,0,0,AF,93
200803130011,2008,3,13,4,Afghanistan,Taliban,7,18,AF,93
200803140003,2008,3,14,4,Afghanistan,Taliban,0,0,AF,93
200803160001,2008,3,16,4,Afghanistan,Unknown,2,1,AF,93
200803170001,2008,3,17,4,Afghanistan,Taliban,7,4,AF,93
200803170002,2008,3,17,4,Afghanistan,Taliban,1,0,AF,93
200803170008,2008,3,17,4,Afghanistan,Taliban,1,0,AF,93
200803170013,2008,3,17,4,Afghanistan,Unknown,0,0,AF,93
200803170020,2008,3,17,4,Afghanistan,Taliban,11,7,AF,93
200803180009,2008,3,18,4,Afghanistan,Taliban,0,0,AF,93
200803190002,2008,3,19,4,Afghanistan,Taliban,0,1,AF,93
200803190012,2008,3,19,4,Afghanistan,Taliban,1,0,AF,93
200803200002,2008,3,20,4,Afghanistan,Taliban,0,4,AF,93
200803200003,2008,3,20,4,Afghanistan,Unknown,1,0,AF,93
200803200007,2008,3,20,4,Afghanistan,Taliban,1,1,AF,93
200803210003,2008,3,21,4,Afghanistan,Taliban,1,0,AF,93
200803210004,2008,3,21,4,Afghanistan,Unknown,3,3,AF,93
200803210007,2008,3,21,4,Afghanistan,Unknown,4,7,AF,93
200803220002,2008,3,22,4,Afghanistan,Unknown,2,0,AF,93
200803220003,2008,3,22,4,Afghanistan,Hizb-I-Islami,0,0,AF,93
200803230009,2008,3,23,4,Afghanistan,Hizb-I-Islami,2,9,AF,93
200803230010,2008,3,23,4,Afghanistan,Unknown,5,7,AF,93
200803240001,2008,3,24,4,Afghanistan,Unknown,2,0,AF,93
200803240005,2008,3,24,4,Afghanistan,Taliban,6,0,AF,93
200803260001,2008,3,26,4,Afghanistan,Taliban,8,17,AF,93
200803260002,2008,3,26,4,Afghanistan,Taliban,0,3,AF,93
200803260003,2008,3,26,4,Afghanistan,Taliban,1,1,AF,93
200803260008,2008,3,26,4,Afghanistan,Taliban,1,2,AF,93
200803260009,2008,3,26,4,Afghanistan,Taliban,1,1,AF,93
200803270011,2008,3,27,4,Afghanistan,Islamist Extremists,0,2,AF,93
200803280002,2008,3,28,4,Afghanistan,Taliban,1,0,AF,93
200803280003,2008,3,28,4,Afghanistan,Taliban,0,0,AF,93
200803290002,2008,3,29,4,Afghanistan,Taliban,0,1,AF,93
200803290008,2008,3,29,4,Afghanistan,Taliban,2,8,AF,93
200803290011,2008,3,29,4,Afghanistan,Taliban,2,0,AF,93
200803290012,2008,3,29,4,Afghanistan,Taliban,10,0,AF,93
200803290013,2008,3,29,4,Afghanistan,Taliban,0,0,AF,93
200803290015,2008,3,29,4,Afghanistan,Taliban,0,0,AF,93
200803290018,2008,3,29,4,Afghanistan,Taliban,1,0,AF,93
200803300001,2008,3,30,4,Afghanistan,Unknown,2,0,AF,93
200803300003,2008,3,30,4,Afghanistan,Taliban,1,0,AF,93
200803310004,2008,3,31,4,Afghanistan,Taliban,3,0,AF,93
200804010001,2008,4,1,4,Afghanistan,Taliban,3,5,AF,93
200804010022,2008,4,1,4,Afghanistan,Unknown,0,6,AF,93
200804040001,2008,4,4,4,Afghanistan,Unknown,5,8,AF,93
200804050017,2008,4,5,4,Afghanistan,Unknown,0,1,AF,93
200804060019,2008,4,6,4,Afghanistan,Unknown,0,0,AF,93
200804060020,2008,4,6,4,Afghanistan,Unknown,0,0,AF,93
200804070024,2008,4,7,4,Afghanistan,Taliban,1,2,AF,93
200804080003,2008,4,8,4,Afghanistan,Unknown,18,16,AF,93
200804080020,2008,4,0,4,Afghanistan,Unknown,0,0,AF,93
200804100002,2008,4,10,4,Afghanistan,Unknown,10,27,AF,93
200804120002,2008,4,12,4,Afghanistan,Taliban,3,8,AF,93
200804120010,2008,4,12,4,Afghanistan,Unknown,0,0,AF,93
200804130005,2008,4,13,4,Afghanistan,Taliban,4,0,AF,93
200804150021,2008,4,15,4,Afghanistan,Taliban,1,0,AF,93
200804170018,2008,4,17,4,Afghanistan,Unknown,25,30,AF,93
200804200004,2008,4,20,4,Afghanistan,Taliban,0,0,AF,93
200804200007,2008,4,20,4,Afghanistan,Taliban,0,0,AF,93
200804200016,2008,4,20,4,Afghanistan,Taliban,1,0,AF,93
200804200019,2008,4,20,4,Afghanistan,Taliban,0,0,AF,93
200804210002,2008,4,21,4,Afghanistan,Unknown,0,0,AF,93
200804210026,2008,4,21,4,Afghanistan,Taliban,0,0,AF,93
200804220009,2008,4,22,4,Afghanistan,Taliban,0,1,AF,93
200804230002,2008,4,23,4,Afghanistan,Taliban,4,0,AF,93
200804230004,2008,4,23,4,Afghanistan,Taliban,3,14,AF,93
200804250016,2008,4,25,4,Afghanistan,Unknown,0,0,AF,93
200804250020,2008,4,25,4,Afghanistan,Taliban,2,0,AF,93
200804260023,2008,4,26,4,Afghanistan,Unknown,0,4,AF,93
200804270001,2008,4,27,4,Afghanistan,Taliban,7,0,AF,93
200804270013,2008,4,27,4,Afghanistan,Haqqani Network,4,14,AF,93
200804280007,2008,4,28,4,Afghanistan,Unknown,1,0,AF,93
200804280047,2008,4,28,4,Afghanistan,Unknown,0,0,AF,93
200804290003,2008,4,29,4,Afghanistan,Taliban,19,31,AF,93
200804300006,2008,4,30,4,Afghanistan,Taliban,0,0,AF,93
200804300007,2008,4,30,4,Afghanistan,Unknown,1,0,AF,93
200805010036,2008,5,1,4,Afghanistan,Taliban,9,8,AF,93
200805010037,2008,5,1,4,Afghanistan,Unknown,1,0,AF,93
200805050001,2008,5,5,4,Afghanistan,Unknown,0,0,AF,93
200805060001,2008,5,6,4,Afghanistan,Unknown,0,5,AF,93
200805060002,2008,5,6,4,Afghanistan,Taliban,4,1,AF,93
200805070001,2008,5,7,4,Afghanistan,Taliban,3,3,AF,93
200805070002,2008,5,7,4,Afghanistan,Unknown,2,3,AF,93
200805070023,2008,5,7,4,Afghanistan,Unknown,0,0,AF,93
200805080001,2008,5,8,4,Afghanistan,Unknown,0,0,AF,93
200805120001,2008,5,12,4,Afghanistan,Taliban,2,0,AF,93
200805120002,2008,5,12,4,Afghanistan,Taliban,1,0,AF,93
200805120003,2008,5,12,4,Afghanistan,Taliban,3,0,AF,93
200805120004,2008,5,12,4,Afghanistan,Taliban,1,0,AF,93
200805120021,2008,5,12,4,Afghanistan,Taliban,1,0,AF,93
200805130016,2008,5,13,4,Afghanistan,Taliban,13,0,AF,93
200805140001,2008,5,14,4,Afghanistan,Unknown,1,0,AF,93
200805140028,2008,5,14,4,Afghanistan,Unknown,0,0,AF,93
200805160001,2008,5,16,4,Afghanistan,Taliban,5,0,AF,93
200805160031,2008,5,16,4,Afghanistan,Taliban,5,6,AF,93
200805160032,2008,5,16,4,Afghanistan,Taliban,0,0,AF,93
200805170001,2008,5,17,4,Afghanistan,Unknown,1,4,AF,93
200805170026,2008,5,17,4,Afghanistan,Taliban,0,0,AF,93
200805180002,2008,5,18,4,Afghanistan,Taliban,1,0,AF,93
200805190025,2008,5,19,4,Afghanistan,Taliban,2,0,AF,93
200805200001,2008,5,20,4,Afghanistan,Unknown,2,0,AF,93
200805200002,2008,5,20,4,Afghanistan,Unknown,1,0,AF,93
200805210001,2008,5,21,4,Afghanistan,Taliban,1,4,AF,93
200805210020,2008,5,21,4,Afghanistan,Unknown,1,0,AF,93
200805220025,2008,5,22,4,Afghanistan,Taliban,3,0,AF,93
200805250010,2008,5,25,4,Afghanistan,Taliban,0,0,AF,93
200805250011,2008,5,25,4,Afghanistan,Taliban,4,0,AF,93
200805250012,2008,5,25,4,Afghanistan,Unknown,1,0,AF,93
200805260001,2008,5,26,4,Afghanistan,Taliban,0,0,AF,93
200805260028,2008,5,26,4,Afghanistan,Taliban,0,0,AF,93
200805260029,2008,5,26,4,Afghanistan,Taliban,1,4,AF,93
200805270031,2008,5,27,4,Afghanistan,Taliban,8,10,AF,93
200805280021,2008,5,28,4,Afghanistan,Taliban,2,4,AF,93
200805290001,2008,5,29,4,Afghanistan,Taliban,0,0,AF,93
200805300039,2008,5,30,4,Afghanistan,Taliban,2,0,AF,93
200805300041,2008,5,30,4,Afghanistan,Taliban,2,0,AF,93
200805310016,2008,5,31,4,Afghanistan,Taliban,0,0,AF,93
200806010037,2008,6,1,4,Afghanistan,Taliban,0,0,AF,93
200806030006,2008,6,3,4,Afghanistan,Taliban,1,0,AF,93
200806030029,2008,6,3,4,Afghanistan,Unknown,0,2,AF,93
200806040026,2008,6,4,4,Afghanistan,Taliban,0,5,AF,93
200806050002,2008,6,5,4,Afghanistan,Unknown,1,23,AF,93
200806050011,2008,6,5,4,Afghanistan,Unknown,3,0,AF,93
200806050024,2008,6,5,4,Afghanistan,Taliban,2,0,AF,93
200806050025,2008,6,5,4,Afghanistan,Unknown,2,3,AF,93
200806060007,2008,6,6,4,Afghanistan,Unknown,2,0,AF,93
200806060022,2008,6,6,4,Afghanistan,Taliban,0,0,AF,93
200806070019,2008,6,7,4,Afghanistan,Taliban,1,1,AF,93
200806070022,2008,6,7,4,Afghanistan,Unknown,1,1,AF,93
200806080005,2008,6,8,4,Afghanistan,Unknown,0,2,AF,93
200806080026,2008,6,8,4,Afghanistan,Taliban,0,0,AF,93
200806080031,2008,6,8,4,Afghanistan,Taliban,5,0,AF,93
200806090029,2008,6,9,4,Afghanistan,Unknown,0,1,AF,93
200806100005,2008,6,10,4,Afghanistan,Taliban,0,1,AF,93
200806110020,2008,6,11,4,Afghanistan,Taliban,1,2,AF,93
200806110021,2008,6,11,4,Afghanistan,Unknown,0,0,AF,93
200806120010,2008,6,12,4,Afghanistan,Unknown,1,0,AF,93
200806150013,2008,6,15,4,Afghanistan,Taliban,0,0,AF,93
200806150016,2008,6,15,4,Afghanistan,Unknown,0,0,AF,93
200806150017,2008,6,15,4,Afghanistan,Unknown,0,0,AF,93
200806160012,2008,6,16,4,Afghanistan,Taliban,1,0,AF,93
200806170009,2008,6,17,4,Afghanistan,Taliban,3,3,AF,93
200806170010,2008,6,17,4,Afghanistan,Taliban,0,0,AF,93
200806180006,2008,6,18,4,Afghanistan,Taliban,4,3,AF,93
200806190016,2008,6,9,4,Afghanistan,Unknown,0,0,AF,93
200806210009,2008,6,21,4,Afghanistan,Taliban,1,2,AF,93
200806230003,2008,6,23,4,Afghanistan,Taliban,8,0,AF,93
200806230017,2008,6,23,4,Afghanistan,Taliban,0,0,AF,93
200806240005,2008,6,24,4,Afghanistan,Taliban,2,1,AF,93
200806240028,2008,6,24,4,Afghanistan,Unknown,1,3,AF,93
200806270005,2008,6,27,4,Afghanistan,Unknown,1,5,AF,93
200806270012,2008,6,27,4,Afghanistan,Taliban,2,1,AF,93
200806270013,2008,6,27,4,Afghanistan,Unknown,6,3,AF,93
200806280008,2008,6,28,4,Afghanistan,Taliban,2,0,AF,93
200806280019,2008,6,28,4,Afghanistan,Unknown,1,0,AF,93
200806290017,2008,6,29,4,Afghanistan,Taliban,14,5,AF,93
200806290030,2008,6,29,4,Afghanistan,Taliban,0,2,AF,93
200806290032,2008,6,29,4,Afghanistan,Taliban,5,0,AF,93
200807010027,2008,7,1,4,Afghanistan,Taliban,3,0,AF,93
200807010028,2008,7,1,4,Afghanistan,Taliban,0,0,AF,93
200807010029,2008,7,1,4,Afghanistan,Unknown,3,0,AF,93
200807020001,2008,7,2,4,Afghanistan,Taliban,6,8,AF,93
200807040002,2008,7,4,4,Afghanistan,Taliban,10,0,AF,93
200807050001,2008,7,5,4,Afghanistan,Taliban,0,3,AF,93
200807070003,2008,7,7,4,Afghanistan,Haqqani Network,58,141,AF,93
200807080001,2008,7,8,4,Afghanistan,Taliban,0,0,AF,93
200807080002,2008,7,8,4,Afghanistan,Taliban,1,0,AF,93
200807080003,2008,7,8,4,Afghanistan,Taliban,1,3,AF,93
200807100001,2008,7,10,4,Afghanistan,Unknown,1,0,AF,93
200807110017,2008,7,11,4,Afghanistan,Taliban,0,0,AF,93
200807120001,2008,7,12,4,Afghanistan,Taliban,2,0,AF,93
200807130001,2008,7,13,4,Afghanistan,Taliban,0,0,AF,93
200807130002,2008,7,13,4,Afghanistan,Taliban,1,0,AF,93
200807130003,2008,7,13,4,Afghanistan,Taliban,25,35,AF,93
200807130015,2008,7,13,4,Afghanistan,Taliban,1,0,AF,93
200807140001,2008,7,14,4,Afghanistan,Taliban,7,0,AF,93
200807150001,2008,7,15,4,Afghanistan,Unknown,0,0,AF,93
200807150014,2008,7,15,4,Afghanistan,Unknown,0,0,AF,93
200807160016,2008,7,16,4,Afghanistan,Taliban,3,0,AF,93
200807160017,2008,7,16,4,Afghanistan,Unknown,0,2,AF,93
200807160018,2008,7,16,4,Afghanistan,Unknown,2,0,AF,93
200807180014,2008,7,18,4,Afghanistan,Taliban,0,0,AF,93
200807180016,2008,7,18,4,Afghanistan,Unknown,2,0,AF,93
200807190006,2008,7,19,4,Afghanistan,Taliban,2,0,AF,93
200807200020,2008,7,20,4,Afghanistan,Taliban,3,0,AF,93
200807200025,2008,7,20,4,Afghanistan,Taliban,7,0,AF,93
200807210001,2008,7,21,4,Afghanistan,Unknown,0,0,AF,93
200807210002,2008,7,21,4,Afghanistan,Taliban,1,3,AF,93
200807210029,2008,7,21,4,Afghanistan,Unknown,0,9,AF,93
200807210030,2008,7,21,4,Afghanistan,Taliban,0,8,AF,93
200807220017,2008,7,22,4,Afghanistan,Unknown,1,3,AF,93
200807220018,2008,7,22,4,Afghanistan,Unknown,4,3,AF,93
200807220019,2008,7,22,4,Afghanistan,Taliban,4,1,AF,93
200807230012,2008,7,23,4,Afghanistan,Taliban,4,8,AF,93
200807250026,2008,7,25,4,Afghanistan,Unknown,0,0,AF,93
200807260028,2008,7,26,4,Afghanistan,Taliban,0,0,AF,93
200807270036,2008,7,27,4,Afghanistan,Taliban,1,0,AF,93
200807270037,2008,7,27,4,Afghanistan,Taliban,0,0,AF,93
200807270038,2008,7,27,4,Afghanistan,Unknown,0,0,AF,93
200807280001,2008,7,28,4,Afghanistan,Unknown,0,1,AF,93
200807280025,2008,7,28,4,Afghanistan,Unknown,0,1,AF,93
200807280026,2008,7,28,4,Afghanistan,Unknown,3,3,AF,93
200807300001,2008,7,30,4,Afghanistan,Taliban,0,0,AF,93
200807300026,2008,7,30,4,Afghanistan,Taliban,1,1,AF,93
200807300027,2008,7,30,4,Afghanistan,Unknown,0,0,AF,93
200808020020,2008,8,1,4,Afghanistan,Taliban,1,0,AF,93
200808020026,2008,8,4,4,Afghanistan,Taliban,1,0,AF,93
200808030010,2008,8,2,4,Afghanistan,Taliban,13,6,AF,93
200808030028,2008,8,3,4,Afghanistan,Taliban,1,0,AF,93
200808030029,2008,8,3,4,Afghanistan,Unknown,1,0,AF,93
200808030030,2008,8,3,4,Afghanistan,Taliban,3,1,AF,93
200808040009,2008,8,2,4,Afghanistan,Taliban,0,0,AF,93
200808040020,2008,8,4,4,Afghanistan,Unknown,2,1,AF,93
200808060015,2008,8,2,4,Afghanistan,Taliban,1,1,AF,93
200808070024,2008,8,7,4,Afghanistan,Taliban,1,0,AF,93
200808070027,2008,8,7,4,Afghanistan,Taliban,3,2,AF,93
200808090013,2008,8,9,4,Afghanistan,Taliban,0,0,AF,93
200808110031,2008,8,11,4,Afghanistan,Taliban,0,0,AF,93
200808120024,2008,8,12,4,Afghanistan,Taliban,0,2,AF,93
200808130013,2008,8,13,4,Afghanistan,Taliban,4,0,AF,93
200808130038,2008,8,13,4,Afghanistan,Taliban,0,1,AF,93
200808150039,2008,8,15,4,Afghanistan,Taliban,0,0,AF,93
200808160007,2008,8,16,4,Afghanistan,Taliban,0,1,AF,93
200808160025,2008,8,16,4,Afghanistan,Unknown,2,0,AF,93
200808180035,2008,8,18,4,Afghanistan,Unknown,0,7,AF,93
200808190027,2008,8,19,4,Afghanistan,Unknown,0,1,AF,93
200808190028,2008,8,19,4,Afghanistan,Taliban,1,0,AF,93
200808210016,2008,8,21,4,Afghanistan,Unknown,0,0,AF,93
200808240015,2008,8,24,4,Afghanistan,Unknown,3,7,AF,93
200808260012,2008,8,26,4,Afghanistan,Taliban,0,0,AF,93
200808280014,2008,8,28,4,Afghanistan,Taliban,0,0,AF,93
200808290001,2008,8,29,4,Afghanistan,Taliban,0,0,AF,93
200808290005,2008,8,29,4,Afghanistan,Taliban,9,0,AF,93
200809010008,2008,9,1,4,Afghanistan,Unknown,0,0,AF,93
200809010019,2008,9,1,4,Afghanistan,Taliban,1,0,AF,93
200809020004,2008,9,2,4,Afghanistan,Unknown,1,0,AF,93
200809020012,2008,9,2,4,Afghanistan,Unknown,0,0,AF,93
200809030021,2008,9,3,4,Afghanistan,Unknown,0,0,AF,93
200809060004,2008,9,6,4,Afghanistan,Taliban,6,1,AF,93
200809080009,2008,9,8,4,Afghanistan,Taliban,6,2,AF,93
200809080014,2008,9,8,4,Afghanistan,Taliban,0,0,AF,93
200809090024,2008,9,9,4,Afghanistan,Taliban,0,0,AF,93
200809100007,2008,9,10,4,Afghanistan,Taliban,0,0,AF,93
200809100021,2008,9,10,4,Afghanistan,Unknown,1,0,AF,93
200809110005,2008,9,11,4,Afghanistan,Taliban,3,4,AF,93
200809110016,2008,9,11,4,Afghanistan,Unknown,0,6,AF,93
200809110022,2008,9,11,4,Afghanistan,Taliban,0,0,AF,93
200809130003,2008,9,13,4,Afghanistan,Taliban,3,0,AF,93
200809140001,2008,9,14,4,Afghanistan,Taliban,1,0,AF,93
200809140009,2008,9,14,4,Afghanistan,Taliban,6,15,AF,93
200809150004,2008,9,15,4,Afghanistan,Taliban,4,0,AF,93
200809150010,2008,9,15,4,Afghanistan,Unknown,1,0,AF,93
200809160002,2008,9,16,4,Afghanistan,Taliban,0,0,AF,93
200809180018,2008,9,18,4,Afghanistan,Unknown,0,0,AF,93
200809200010,2008,9,20,4,Afghanistan,Taliban,2,0,AF,93
200809220014,2008,9,22,4,Afghanistan,Taliban,0,0,AF,93
200809220025,2008,9,22,4,Afghanistan,Unknown,1,0,AF,93
200809220027,2008,9,22,4,Afghanistan,Taliban,2,4,AF,93
200809220028,2008,9,22,4,Afghanistan,Taliban,1,0,AF,93
200809220040,2008,9,22,4,Afghanistan,Taliban,6,4,AF,93
200809240015,2008,9,24,4,Afghanistan,Unknown,0,4,AF,93
200809280013,2008,9,28,4,Afghanistan,Taliban,1,1,AF,93
200809280033,2008,9,28,4,Afghanistan,Unknown,1,0,AF,93
200809280036,2008,9,28,4,Afghanistan,Unknown,0,3,AF,93
200810030010,2008,10,3,4,Afghanistan,Taliban,1,0,AF,93
200810040008,2008,10,4,4,Afghanistan,Unknown,0,0,AF,93
200810040011,2008,10,4,4,Afghanistan,Taliban,1,6,AF,93
200810100008,2008,10,10,4,Afghanistan,Taliban,3,3,AF,93
200810120009,2008,10,12,4,Afghanistan,Taliban,5,0,AF,93
200810120018,2008,10,12,4,Afghanistan,Unknown,0,0,AF,93
200810160001,2008,10,16,4,Afghanistan,Taliban,1,2,AF,93
200810160002,2008,10,16,4,Afghanistan,Unknown,1,6,AF,93
200810160003,2008,10,16,4,Afghanistan,Taliban,5,3,AF,93
200810160005,2008,10,16,4,Afghanistan,Taliban,17,0,AF,93
200810180001,2008,10,18,4,Afghanistan,Taliban,2,0,AF,93
200810190004,2008,10,19,4,Afghanistan,Taliban,5,0,AF,93
200810190006,2008,10,19,4,Afghanistan,Unknown,1,0,AF,93
200810190007,2008,10,19,4,Afghanistan,Unknown,1,2,AF,93
200810190008,2008,10,19,4,Afghanistan,Taliban,1,1,AF,93
200810200001,2008,10,20,4,Afghanistan,Taliban,1,0,AF,93
200810200014,2008,10,20,4,Afghanistan,Taliban,1,2,AF,93
200810200015,2008,10,20,4,Afghanistan,Unknown,1,0,AF,93
200810210006,2008,10,21,4,Afghanistan,Unknown,1,2,AF,93
200810210007,2008,10,21,4,Afghanistan,Taliban,1,2,AF,93
200810210016,2008,10,21,4,Afghanistan,Unknown,0,12,AF,93
200810210034,2008,10,21,4,Afghanistan,Taliban,0,0,AF,93
200810220007,2008,10,22,4,Afghanistan,Hizb-I-Islami,0,0,AF,93
200810220014,2008,10,22,4,Afghanistan,Hizb-I-Islami,2,0,AF,93
200810220015,2008,10,22,4,Afghanistan,Hizb-I-Islami,1,0,AF,93
200810240001,2008,10,24,4,Afghanistan,Unknown,0,0,AF,93
200810250001,2008,10,25,4,Afghanistan,Unknown,1,0,AF,93
200810250002,2008,10,25,4,Afghanistan,Taliban,0,0,AF,93
200810250007,2008,10,25,4,Afghanistan,Taliban,0,0,AF,93
200810250017,2008,10,25,4,Afghanistan,Taliban,0,0,AF,93
200810260022,2008,10,26,4,Afghanistan,Taliban,0,1,AF,93
200810270003,2008,10,27,4,Afghanistan,Taliban,8,0,AF,93
200810300004,2008,10,30,4,Afghanistan,Taliban,6,18,AF,93
200810300006,2008,10,30,4,Afghanistan,Taliban,5,7,AF,93
200810310018,2008,10,31,4,Afghanistan,Taliban,0,0,AF,93
200811030002,2008,11,3,4,Afghanistan,Unknown,1,0,AF,93
200811030010,2008,11,3,4,Afghanistan,Taliban,1,0,AF,93
200811040007,2008,11,4,4,Afghanistan,Taliban,1,0,AF,93
200811040021,2008,11,4,4,Afghanistan,Unknown,1,7,AF,93
200811050009,2008,11,5,4,Afghanistan,Unknown,2,3,AF,93
200811060013,2008,11,6,4,Afghanistan,Hizb-I-Islami,0,0,AF,93
200811070006,2008,11,7,4,Afghanistan,Taliban,1,1,AF,93
200811090029,2008,11,9,4,Afghanistan,Unknown,1,0,AF,93
200811100011,2008,11,10,4,Afghanistan,Unknown,4,0,AF,93
200811100017,2008,11,10,4,Afghanistan,Haqqani Network,0,0,AF,93
200811100027,2008,11,10,4,Afghanistan,Unknown,0,0,AF,93
200811110008,2008,11,11,4,Afghanistan,Unknown,1,0,AF,93
200811110011,2008,11,11,4,Afghanistan,Taliban,0,0,AF,93
200811120005,2008,11,12,4,Afghanistan,Unknown,7,42,AF,93
200811120006,2008,11,12,4,Afghanistan,Haqqani Network,0,16,AF,93
200811120024,2008,11,12,4,Afghanistan,Unknown,4,0,AF,93
200811140016,2008,11,14,4,Afghanistan,Taliban,3,0,AF,93
200811140017,2008,11,14,4,Afghanistan,Taliban,0,2,AF,93
200811150005,2008,11,15,4,Afghanistan,Taliban,0,0,AF,93
200811170026,2008,11,17,4,Afghanistan,Tehrik-i-Taliban Pakistan (TTP),0,2,AF,93
200811200006,2008,11,20,4,Afghanistan,Taliban,9,16,AF,93
200811200011,2008,11,20,4,Afghanistan,Unknown,9,0,AF,93
200811200013,2008,11,20,4,Afghanistan,Unknown,0,2,AF,93
200811210009,2008,11,21,4,Afghanistan,Unknown,8,62,AF,93
200811220011,2008,11,22,4,Afghanistan,Unknown,2,17,AF,93
200811240005,2008,11,24,4,Afghanistan,Unknown,0,2,AF,93
200811260015,2008,11,26,4,Afghanistan,Taliban,0,0,AF,93
200811270003,2008,11,27,4,Afghanistan,Taliban,5,18,AF,93
200811270012,2008,11,27,4,Afghanistan,Taliban,0,0,AF,93
200811280001,2008,11,28,4,Afghanistan,Unknown,4,0,AF,93
200811300002,2008,11,30,4,Afghanistan,Unknown,4,6,AF,93
200812010024,2008,12,1,4,Afghanistan,Taliban,2,0,AF,93
